Wed Aug 25 2004 18:56:09       56 m.c. d/drwxrwxrwx 48       0        458-144-6 /WINDOWS
Wed Aug 25 2004 19:18:25      328 m.cb d/dr-xr-xr-x 0        0        11736-144-1 /RECYCLER
                               82 macb d/dr-xr-xr-x 0        0        11736-48-2 /RECYCLER ($FILE_NAME)
Thu Aug 26 2004 18:05:22       48 ..c. d/drwxrwxrwx 0        0        10519-144-1 /Temp
Thu Aug 26 2004 18:51:47      194 .a.. r/rr-xr-xr-x 48       0        3664-128-4 /boot.ini
Fri Aug 27 2004 18:08:05       56 .a.. d/drwxrwxrwx 0        0        3671-144-7 /Documents and Settings
Fri Aug 27 2004 18:08:06      160 .a.. d/dr-xr-xr-x 0        0        411-144-1 /System Volume Information
                               56 .a.. d/drwxrwxrwx 48       0        458-144-6 /WINDOWS
Fri Aug 27 2004 18:08:14 201326592 mac. r/rr-xr-xr-x 0        0        228-128-1 /pagefile.sys
Fri Aug 27 2004 18:08:16 133730304 mac. r/rr-xr-xr-x 0        0        343-128-1 /hiberfil.sys
Fri Aug 27 2004 18:12:30      328 .a.. d/dr-xr-xr-x 0        0        11736-144-1 /RECYCLER
Fri Aug 27 2004 18:28:49      152 m.c. d/d-wx-wx-wx 48       0        134-144-4 /Program Files
Fri Aug 27 2004 18:29:18      152 .a.. d/d-wx-wx-wx 48       0        134-144-4 /Program Files
